no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x151b1e49b010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.3681, 'learning_rate': 9.912144702842377e-05, 'epoch': 53.95}
{'loss': -2.3781, 'learning_rate': 9.891472868217055e-05, 'epoch': 54.88}
{'loss': -2.3936, 'learning_rate': 9.870801033591732e-05, 'epoch': 55.81}
{'loss': -2.4009, 'learning_rate': 9.85012919896641e-05, 'epoch': 56.74}
{'loss': -2.4002, 'learning_rate': 9.829457364341085e-05, 'epoch': 57.67}
{'loss': -2.4176, 'learning_rate': 9.808785529715763e-05, 'epoch': 58.6}
{'loss': -2.4334, 'learning_rate': 9.78811369509044e-05, 'epoch': 59.53}
{'loss': -2.4411, 'learning_rate': 9.767441860465116e-05, 'epoch': 60.47}
{'loss': -2.4506, 'learning_rate': 9.746770025839795e-05, 'epoch': 61.4}
{'loss': -2.4674, 'learning_rate': 9.72609819121447e-05, 'epoch': 62.33}
{'loss': -2.4804, 'learning_rate': 9.705426356589148e-05, 'epoch': 63.26}
{'loss': -2.4869, 'learning_rate': 9.684754521963825e-05, 'epoch': 64.19}
{'loss': -2.4977, 'learning_rate': 9.664082687338501e-05, 'epoch': 65.12}
{'loss': -2.5057, 'learning_rate': 9.643410852713179e-05, 'epoch': 66.05}
{'loss': -2.5183, 'learning_rate': 9.622739018087856e-05, 'epoch': 66.98}
{'loss': -2.5239, 'learning_rate': 9.602067183462533e-05, 'epoch': 67.91}
{'loss': -2.5346, 'learning_rate': 9.58139534883721e-05, 'epoch': 68.84}
{'loss': -2.5522, 'learning_rate': 9.560723514211886e-05, 'epoch': 69.77}
{'loss': -2.5617, 'learning_rate': 9.540051679586564e-05, 'epoch': 70.7}
{'loss': -2.5703, 'learning_rate': 9.51937984496124e-05, 'epoch': 71.63}
{'loss': -2.5706, 'learning_rate': 9.498708010335918e-05, 'epoch': 72.56}
{'loss': -2.5863, 'learning_rate': 9.478036175710596e-05, 'epoch': 73.49}
{'loss': -2.5956, 'learning_rate': 9.457364341085272e-05, 'epoch': 74.42}
{'loss': -2.6032, 'learning_rate': 9.436692506459949e-05, 'epoch': 75.35}
{'loss': -2.6073, 'learning_rate': 9.416020671834625e-05, 'epoch': 76.28}
{'loss': -2.6226, 'learning_rate': 9.395348837209302e-05, 'epoch': 77.21}
{'loss': -2.6284, 'learning_rate': 9.37467700258398e-05, 'epoch': 78.14}
{'loss': -2.6377, 'learning_rate': 9.354005167958657e-05, 'epoch': 79.07}
{'loss': -2.6396, 'learning_rate': 9.333333333333334e-05, 'epoch': 80.0}
{'loss': -2.6443, 'learning_rate': 9.31266149870801e-05, 'epoch': 80.93}
{'loss': -2.6587, 'learning_rate': 9.291989664082688e-05, 'epoch': 81.86}
{'loss': -2.6689, 'learning_rate': 9.271317829457365e-05, 'epoch': 82.79}
{'loss': -2.684, 'learning_rate': 9.250645994832042e-05, 'epoch': 83.72}
{'loss': -2.6881, 'learning_rate': 9.22997416020672e-05, 'epoch': 84.65}
{'loss': -2.6919, 'learning_rate': 9.209302325581396e-05, 'epoch': 85.58}
{'loss': -2.7066, 'learning_rate': 9.188630490956073e-05, 'epoch': 86.51}
{'loss': -2.7157, 'learning_rate': 9.16795865633075e-05, 'epoch': 87.44}
{'loss': -2.7097, 'learning_rate': 9.147286821705426e-05, 'epoch': 88.37}
{'loss': -2.7223, 'learning_rate': 9.126614987080105e-05, 'epoch': 89.3}
{'loss': -2.7329, 'learning_rate': 9.105943152454781e-05, 'epoch': 90.23}
{'loss': -2.7323, 'learning_rate': 9.085271317829458e-05, 'epoch': 91.16}
{'loss': -2.7426, 'learning_rate': 9.064599483204134e-05, 'epoch': 92.09}
{'loss': -2.7534, 'learning_rate': 9.043927648578811e-05, 'epoch': 93.02}
{'loss': -2.7585, 'learning_rate': 9.023255813953489e-05, 'epoch': 93.95}
{'loss': -2.7638, 'learning_rate': 9.002583979328166e-05, 'epoch': 94.88}
{'loss': -2.7719, 'learning_rate': 8.981912144702843e-05, 'epoch': 95.81}
{'loss': -2.7796, 'learning_rate': 8.96124031007752e-05, 'epoch': 96.74}
{'loss': -2.7842, 'learning_rate': 8.940568475452197e-05, 'epoch': 97.67}
{'loss': -2.7888, 'learning_rate': 8.919896640826874e-05, 'epoch': 98.6}
{'loss': -2.794, 'learning_rate': 8.89922480620155e-05, 'epoch': 99.53}
{'loss': -2.8047, 'learning_rate': 8.878552971576229e-05, 'epoch': 100.47}
{'loss': -2.8098, 'learning_rate': 8.857881136950905e-05, 'epoch': 101.4}
{'loss': -2.8149, 'learning_rate': 8.837209302325582e-05, 'epoch': 102.33}
{'loss': -2.8177, 'learning_rate': 8.816537467700259e-05, 'epoch': 103.26}
{'loss': -2.8285, 'learning_rate': 8.795865633074935e-05, 'epoch': 104.19}
{'loss': -2.8307, 'learning_rate': 8.775193798449613e-05, 'epoch': 105.12}
{'loss': -2.8386, 'learning_rate': 8.75452196382429e-05, 'epoch': 106.05}
{'loss': -2.8465, 'learning_rate': 8.733850129198967e-05, 'epoch': 106.98}
{'loss': -2.8514, 'learning_rate': 8.713178294573645e-05, 'epoch': 107.91}
{'loss': -2.859, 'learning_rate': 8.69250645994832e-05, 'epoch': 108.84}
{'loss': -2.8683, 'learning_rate': 8.671834625322998e-05, 'epoch': 109.77}
{'loss': -2.8713, 'learning_rate': 8.651162790697674e-05, 'epoch': 110.7}
{'loss': -2.8786, 'learning_rate': 8.630490956072352e-05, 'epoch': 111.63}
{'loss': -2.8834, 'learning_rate': 8.60981912144703e-05, 'epoch': 112.56}
{'loss': -2.8923, 'learning_rate': 8.589147286821706e-05, 'epoch': 113.49}
{'loss': -2.8939, 'learning_rate': 8.568475452196383e-05, 'epoch': 114.42}
