no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 1, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x1503439d3010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_1
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -2.4189, 'learning_rate': 9.883597883597884e-05, 'epoch': 55.24}
{'loss': -2.431, 'learning_rate': 9.862433862433864e-05, 'epoch': 56.19}
{'loss': -2.4352, 'learning_rate': 9.841269841269841e-05, 'epoch': 57.14}
{'loss': -2.449, 'learning_rate': 9.820105820105821e-05, 'epoch': 58.1}
{'loss': -2.458, 'learning_rate': 9.7989417989418e-05, 'epoch': 59.05}
{'loss': -2.4702, 'learning_rate': 9.777777777777778e-05, 'epoch': 60.0}
{'loss': -2.4794, 'learning_rate': 9.756613756613757e-05, 'epoch': 60.95}
{'loss': -2.493, 'learning_rate': 9.735449735449735e-05, 'epoch': 61.9}
{'loss': -2.5073, 'learning_rate': 9.714285714285715e-05, 'epoch': 62.86}
{'loss': -2.5209, 'learning_rate': 9.693121693121694e-05, 'epoch': 63.81}
{'loss': -2.5279, 'learning_rate': 9.671957671957672e-05, 'epoch': 64.76}
{'loss': -2.5376, 'learning_rate': 9.650793650793651e-05, 'epoch': 65.71}
{'loss': -2.5463, 'learning_rate': 9.62962962962963e-05, 'epoch': 66.67}
{'loss': -2.5579, 'learning_rate': 9.608465608465608e-05, 'epoch': 67.62}
{'loss': -2.5639, 'learning_rate': 9.587301587301588e-05, 'epoch': 68.57}
{'loss': -2.5754, 'learning_rate': 9.566137566137567e-05, 'epoch': 69.52}
{'loss': -2.5901, 'learning_rate': 9.544973544973545e-05, 'epoch': 70.48}
{'loss': -2.6015, 'learning_rate': 9.523809523809524e-05, 'epoch': 71.43}
{'loss': -2.6158, 'learning_rate': 9.502645502645503e-05, 'epoch': 72.38}
{'loss': -2.6213, 'learning_rate': 9.481481481481483e-05, 'epoch': 73.33}
{'loss': -2.6338, 'learning_rate': 9.46031746031746e-05, 'epoch': 74.29}
{'loss': -2.6392, 'learning_rate': 9.43915343915344e-05, 'epoch': 75.24}
{'loss': -2.6505, 'learning_rate': 9.417989417989419e-05, 'epoch': 76.19}
{'loss': -2.6597, 'learning_rate': 9.396825396825397e-05, 'epoch': 77.14}
{'loss': -2.6667, 'learning_rate': 9.375661375661377e-05, 'epoch': 78.1}
{'loss': -2.6762, 'learning_rate': 9.354497354497354e-05, 'epoch': 79.05}
{'loss': -2.6854, 'learning_rate': 9.333333333333334e-05, 'epoch': 80.0}
{'loss': -2.693, 'learning_rate': 9.312169312169312e-05, 'epoch': 80.95}
{'loss': -2.7003, 'learning_rate': 9.291005291005292e-05, 'epoch': 81.9}
{'loss': -2.7119, 'learning_rate': 9.26984126984127e-05, 'epoch': 82.86}
{'loss': -2.7202, 'learning_rate': 9.248677248677249e-05, 'epoch': 83.81}
{'loss': -2.7248, 'learning_rate': 9.227513227513229e-05, 'epoch': 84.76}
{'loss': -2.7237, 'learning_rate': 9.206349206349206e-05, 'epoch': 85.71}
{'loss': -2.7229, 'learning_rate': 9.185185185185186e-05, 'epoch': 86.67}
{'loss': -2.7393, 'learning_rate': 9.164021164021165e-05, 'epoch': 87.62}
{'loss': -2.7448, 'learning_rate': 9.142857142857143e-05, 'epoch': 88.57}
{'loss': -2.7581, 'learning_rate': 9.121693121693122e-05, 'epoch': 89.52}
{'loss': -2.7534, 'learning_rate': 9.1005291005291e-05, 'epoch': 90.48}
{'loss': -2.7579, 'learning_rate': 9.079365079365079e-05, 'epoch': 91.43}
{'loss': -2.7742, 'learning_rate': 9.058201058201059e-05, 'epoch': 92.38}
