no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '_noise', 'gen_func': <function gen_data_sample_across_rx at 0x153447997010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -1.6941, 'learning_rate': 2.1308411214953273e-05, 'epoch': 10.65}
{'loss': -1.7198, 'learning_rate': 2.1682242990654206e-05, 'epoch': 10.84}
{'loss': -1.7473, 'learning_rate': 2.2056074766355142e-05, 'epoch': 11.03}
{'loss': -1.7681, 'learning_rate': 2.2429906542056075e-05, 'epoch': 11.21}
{'loss': -1.7908, 'learning_rate': 2.2803738317757008e-05, 'epoch': 11.4}
{'loss': -1.8118, 'learning_rate': 2.3177570093457944e-05, 'epoch': 11.59}
{'loss': -1.8345, 'learning_rate': 2.355140186915888e-05, 'epoch': 11.78}
{'loss': -1.8528, 'learning_rate': 2.3925233644859816e-05, 'epoch': 11.96}
{'loss': -1.8741, 'learning_rate': 2.429906542056075e-05, 'epoch': 12.15}
{'loss': -1.8906, 'learning_rate': 2.467289719626168e-05, 'epoch': 12.34}
{'loss': -1.911, 'learning_rate': 2.5046728971962618e-05, 'epoch': 12.52}
{'loss': -1.9288, 'learning_rate': 2.542056074766355e-05, 'epoch': 12.71}
{'loss': -1.9464, 'learning_rate': 2.5794392523364487e-05, 'epoch': 12.9}
{'loss': -1.9671, 'learning_rate': 2.616822429906542e-05, 'epoch': 13.08}
{'loss': -1.9813, 'learning_rate': 2.654205607476636e-05, 'epoch': 13.27}
{'loss': -1.993, 'learning_rate': 2.6915887850467292e-05, 'epoch': 13.46}
{'loss': -2.009, 'learning_rate': 2.7289719626168225e-05, 'epoch': 13.64}
{'loss': -2.0242, 'learning_rate': 2.7663551401869157e-05, 'epoch': 13.83}
{'loss': -2.0351, 'learning_rate': 2.8037383177570094e-05, 'epoch': 14.02}
{'loss': -2.0528, 'learning_rate': 2.8411214953271033e-05, 'epoch': 14.21}
{'loss': -2.0665, 'learning_rate': 2.8785046728971966e-05, 'epoch': 14.39}
{'loss': -2.0795, 'learning_rate': 2.91588785046729e-05, 'epoch': 14.58}
{'loss': -2.092, 'learning_rate': 2.953271028037383e-05, 'epoch': 14.77}
{'loss': -2.1052, 'learning_rate': 2.9906542056074764e-05, 'epoch': 14.95}
{'loss': -2.1186, 'learning_rate': 3.0280373831775704e-05, 'epoch': 15.14}
{'loss': -2.1305, 'learning_rate': 3.0654205607476637e-05, 'epoch': 15.33}
{'loss': -2.1425, 'learning_rate': 3.102803738317757e-05, 'epoch': 15.51}
{'loss': -2.1581, 'learning_rate': 3.14018691588785e-05, 'epoch': 15.7}
{'loss': -2.1719, 'learning_rate': 3.177570093457944e-05, 'epoch': 15.89}
{'loss': -2.1827, 'learning_rate': 3.214953271028038e-05, 'epoch': 16.07}
{'loss': -2.1938, 'learning_rate': 3.2523364485981314e-05, 'epoch': 16.26}
{'loss': -2.2071, 'learning_rate': 3.289719626168225e-05, 'epoch': 16.45}
{'loss': -2.2174, 'learning_rate': 3.327102803738318e-05, 'epoch': 16.64}
{'loss': -2.2244, 'learning_rate': 3.364485981308411e-05, 'epoch': 16.82}
{'loss': -2.2358, 'learning_rate': 3.401869158878505e-05, 'epoch': 17.01}
{'loss': -2.2457, 'learning_rate': 3.4392523364485985e-05, 'epoch': 17.2}
{'loss': -2.2607, 'learning_rate': 3.476635514018692e-05, 'epoch': 17.38}
{'loss': -2.2727, 'learning_rate': 3.514018691588785e-05, 'epoch': 17.57}
{'loss': -2.2855, 'learning_rate': 3.551401869158878e-05, 'epoch': 17.76}
{'loss': -2.2946, 'learning_rate': 3.5887850467289716e-05, 'epoch': 17.94}
{'loss': -2.3043, 'learning_rate': 3.6261682242990655e-05, 'epoch': 18.13}
{'loss': -2.3132, 'learning_rate': 3.663551401869159e-05, 'epoch': 18.32}
{'loss': -2.3225, 'learning_rate': 3.700934579439253e-05, 'epoch': 18.5}
{'loss': -2.3351, 'learning_rate': 3.738317757009346e-05, 'epoch': 18.69}
{'loss': -2.3417, 'learning_rate': 3.775700934579439e-05, 'epoch': 18.88}
{'loss': -2.3531, 'learning_rate': 3.813084112149533e-05, 'epoch': 19.07}
{'loss': -2.3642, 'learning_rate': 3.8504672897196265e-05, 'epoch': 19.25}
{'loss': -2.3694, 'learning_rate': 3.88785046728972e-05, 'epoch': 19.44}
{'loss': -2.3795, 'learning_rate': 3.925233644859813e-05, 'epoch': 19.63}
{'loss': -2.3902, 'learning_rate': 3.9626168224299064e-05, 'epoch': 19.81}
{'loss': -2.3964, 'learning_rate': 4e-05, 'epoch': 20.0}
