Starting time: Mon Jul 29 13:38:38 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 30, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14e5b3a68d30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_134437_obj_30
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_134437_obj_30 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': -0.9867, 'grad_norm': 0.9405934810638428, 'learning_rate': 1.4511627906976743e-05, 'epoch': 7.26}
{'loss': -1.0594, 'grad_norm': 0.8066710233688354, 'learning_rate': 1.488372093023256e-05, 'epoch': 7.44}
{'loss': -1.1246, 'grad_norm': 1.0427175760269165, 'learning_rate': 1.5255813953488374e-05, 'epoch': 7.63}
{'loss': -1.1997, 'grad_norm': 1.0702812671661377, 'learning_rate': 1.5627906976744188e-05, 'epoch': 7.81}
{'loss': -1.2536, 'grad_norm': 1.5097616910934448, 'learning_rate': 1.6000000000000003e-05, 'epoch': 8.0}
{'loss': -1.3113, 'grad_norm': 1.27359938621521, 'learning_rate': 1.6372093023255814e-05, 'epoch': 8.19}
{'loss': -1.3575, 'grad_norm': 1.4768073558807373, 'learning_rate': 1.674418604651163e-05, 'epoch': 8.37}
{'loss': -1.4133, 'grad_norm': 1.0933794975280762, 'learning_rate': 1.7116279069767444e-05, 'epoch': 8.56}
{'loss': -1.4652, 'grad_norm': 1.6715031862258911, 'learning_rate': 1.7488372093023256e-05, 'epoch': 8.74}
{'loss': -1.4984, 'grad_norm': 1.5513596534729004, 'learning_rate': 1.786046511627907e-05, 'epoch': 8.93}
{'loss': -1.5373, 'grad_norm': 1.369761347770691, 'learning_rate': 1.8232558139534882e-05, 'epoch': 9.12}
{'loss': -1.5573, 'grad_norm': 1.202771544456482, 'learning_rate': 1.8604651162790697e-05, 'epoch': 9.3}
{'loss': -1.6024, 'grad_norm': 2.147336721420288, 'learning_rate': 1.8976744186046512e-05, 'epoch': 9.49}
{'loss': -1.6317, 'grad_norm': 1.2707685232162476, 'learning_rate': 1.9348837209302327e-05, 'epoch': 9.67}
{'loss': -1.6646, 'grad_norm': 1.7818208932876587, 'learning_rate': 1.9720930232558142e-05, 'epoch': 9.86}
{'loss': -1.6871, 'grad_norm': 1.658647894859314, 'learning_rate': 2.0093023255813957e-05, 'epoch': 10.05}
{'loss': -1.7111, 'grad_norm': 1.3196947574615479, 'learning_rate': 2.046511627906977e-05, 'epoch': 10.23}
{'loss': -1.7369, 'grad_norm': 2.090299606323242, 'learning_rate': 2.0837209302325584e-05, 'epoch': 10.42}
{'loss': -1.7629, 'grad_norm': 1.8205735683441162, 'learning_rate': 2.1209302325581395e-05, 'epoch': 10.6}
{'loss': -1.7931, 'grad_norm': 1.3530548810958862, 'learning_rate': 2.158139534883721e-05, 'epoch': 10.79}
{'loss': -1.8106, 'grad_norm': 2.735943078994751, 'learning_rate': 2.1953488372093025e-05, 'epoch': 10.98}
{'loss': -1.8387, 'grad_norm': 2.0389277935028076, 'learning_rate': 2.2325581395348837e-05, 'epoch': 11.16}
{'loss': -1.8451, 'grad_norm': 1.8438670635223389, 'learning_rate': 2.269767441860465e-05, 'epoch': 11.35}
{'loss': -1.8787, 'grad_norm': 2.6440343856811523, 'learning_rate': 2.3069767441860467e-05, 'epoch': 11.53}
